RAM,avgRating,batteryCapacity,color,discount,lensDetail,memoryDetail,name,price,processor,ratingCount,reviewCount,screenDimention,warranty
"4 GB,8 GB",4.2,5000 mAh Battery,"Diamond White,Glacier Blue,Mirror Black",16% off,50MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"Infinix HOT 30i (Glacier Blue, 64 GB)","₹8,399",G37 Processor,"4,544 Ratings",264 Reviews,16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,8 GB",4.2,5000 mAh Battery,"Diamond White,Glacier Blue,Mirror Black",20% off,50MP + AI Lens | 5MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"Infinix HOT 30i (Mirror Black, 128 GB)","₹9,499",G37 Processor,"19,144 Ratings","1,142 Reviews",16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.3,6000 mAh Lithium Ion Battery,"Nightsky Green,Sunrise Copper,Waterfall Blue",26% off,50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999",Exynos 850 Processor,"1,49,128 Ratings","8,528 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty Provided By the Manufacturer from Date of Purchase
"4 GB,8 GB",4.2,5000 mAh Battery,"Diamond White,Glacier Blue,Mirror Black",16% off,50MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"Infinix HOT 30i (Mirror Black, 64 GB)","₹8,399",G37 Processor,"4,544 Ratings",264 Reviews,16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"2 GB,4 GB",4,5000 mAh Battery,"Aurora Green,Cosmic Black,Creamy White",31% off,13MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"MOTOROLA e13 (Creamy White, 64 GB)","₹7,499",Unisoc T606 Processor,"23,353 Ratings","1,929 Reviews",16.51 cm (6.5 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.3,6000 mAh Battery,"Azure Blue,Emerald Green,Night Black",25% off,13MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,499",Unisoc Spreadtrum SC9863A1 Processor,"30,258 Ratings","1,573 Reviews",16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.3,6000 mAh Lithium Ion Battery,"Nightsky Green,Sunrise Copper,Waterfall Blue",29% off,50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","₹11,999",Exynos 850 Processor,"1,49,128 Ratings","8,528 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty Provided By the Manufacturer from Date of Purchase
"4 GB,8 GB",4.1,5000 mAh Battery,"Mineral Gray,Satin Silver",36% off,50MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM,"MOTOROLA G32 (Satin Silver, 128 GB)","₹11,999",Qualcomm Snapdragon 680 Processor,"16,926 Ratings","1,409 Reviews",16.64 cm (6.55 inch) Full HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.4,5000 mAh Lithium Ion Battery,"Aqua Blue,Night Sea,Sandy Gold",25% off,50MP + 0.3MP | 5MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"realme C33 2023 (Sandy Gold, 128 GB)","₹10,499",Unisoc T612 Processor,"11,764 Ratings",356 Reviews,16.51 cm (6.5 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
,4.4,5000 mAh Lithium Ion Battery,"Aqua Blue,Night Sea,Sandy Gold",25% off,50MP + 0.3MP | 5MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"realme C33 2023 (Aqua Blue, 128 GB)","₹10,499",Unisoc T612 Processor,"11,764 Ratings",356 Reviews,16.51 cm (6.5 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"2 GB,3 GB",4.1,5000 mAh Lithium Ion Battery,"Bamboo Green,Denim Black,Lake Blue",30% off,8MP Rear Camera | 5MP Front Camera,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,"realme C30 (Denim Black, 32 GB)","₹6,499",Unisoc T612 Processor,"53,803 Ratings","3,305 Reviews",16.51 cm (6.5 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
