RAM,avgRating,batteryCapacity,color,discount,lensDetail,memoryDetail,name,price,processor,ratingCount,reviewCount,screenDimention,warranty
"4 MB,32 MB",4.2,800 mAh Lithium Ion Battery,"Black,Blue,Charcoal,Pink",18% off,0MP Front Camera,32 MB RAM | 32 MB ROM,Nokia 105 SS,"₹1,299",SC6531E Processor,"20,221 Ratings","1,494 Reviews",4.5 cm (1.77 inch) QVGA Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase
,3.6,1000 mAh Battery,,25% off,0.3MP Rear Camera,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,GFive U707,₹749,,"12,428 Ratings","1,156 Reviews",4.57 cm (1.8 inch) Display,1 Year Manufacturer warranty.
"4 GB,6 GB",4.2,5000 mAh Lithium-ion Polymer Battery,"Icy Blue,Power Black,Yellow",42% off,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"POCO M5 (Power Black, 128 GB)","₹10,999",Mediatek Helio G99 Processor,"3,293 Ratings",198 Reviews,16.71 cm (6.58 inch) Full HD+ Display,"1 Year for Handset, 6 Months for Accessories"
"6 GB,8 GB",4.1,5000 mAh Battery,"Jaguar Black,Supernova Green,Wildcat Blue",25% off,48MP + 8MP + 2MP | 13MP Front Camera,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,"POCO X5 5G (Jaguar Black, 256 GB)","₹17,999",Qualcomm Snapdragon 695 Processor,"2,279 Ratings",180 Reviews,16.94 cm (6.67 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
,4.5,5000 mAh Battery,"Blue,Gold,Navy Blue",26% off,8MP Rear Camera | 5MP Front Camera,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,"OPPO A17k (Blue, 64 GB)","₹9,499",Mediatek Helio P35 Processor,"4,684 Ratings",116 Reviews,16.66 cm (6.56 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,6 GB",4.1,5000 mAh Battery,"Cool Blue,Forest Green,Power Black",21% off,50MP Dual Rear Camera | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"POCO C55 (Forest Green, 128 GB)","₹10,999",Mediatek Helio G85 Processor,"12,237 Ratings",665 Reviews,17.04 cm (6.71 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"32 MB,56 MB",3.9,1000 mAh Battery,"Black,Blue",47% off,0.03MP Rear Camera,56 MB RAM | 36 MB ROM,Micromax X415,₹999,,"1,488 Ratings",95 Reviews,4.5 cm (1.77 inch) Display,1 Year Brand Warranty
"6 GB,8 GB",4.2,5000 mAh Lithium-ion Polymer Battery,"Cool Blue,Yellow",36% off,64MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"POCO M4 Pro (Yellow, 128 GB)","₹13,999",Mediatek Helio G96 Processor,"20,441 Ratings","1,643 Reviews",16.33 cm (6.43 inch) Full HD+ AMOLED Display,"One Year for Handset, 6 Months for Accessories"
,3.9,5000 mAh Battery,,22% off,50MP + 8MP | 16MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"MOTOROLA g73 5G (Lucent White, 128 GB)","₹16,999",Mediatek Dimensity 930 Processor,"11,527 Ratings","1,571 Reviews",16.51 cm (6.5 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"4 GB,6 GB",4.1,5000 mAh Li-ion Polymer Battery,"Blaster Green,Racing Black,Space Blue",32% off,50MP + AI Lens | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"Infinix Hot 20 5G (Blaster Green, 128 GB)","₹13,499",Dimensity 810 Processor,"5,088 Ratings",463 Reviews,16.76 cm (6.6 inch) Full HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,8 GB",4.3,5000 mAh Battery,"Clash White,Rush Black",12% off,50MP + 2MP | 16MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"realme 10 (Rush Black, 64 GB)","₹13,999",Mediatek Helio G99 Octa Core Processor,"10,323 Ratings",755 Reviews,16.26 cm (6.4 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
,3.9,5000 mAh Battery,"Lavender Blue,Matte Charcoal",28% off,50MP + 2MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"MOTOROLA g13 (Lavender Blue, 128 GB)","₹9,999",Helio G85 Processor,"18,016 Ratings","1,721 Reviews",16.51 cm (6.5 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,6 GB",4.1,5000 mAh Li-ion Polymer Battery,"Blaster Green,Racing Black,Space Blue",32% off,50MP + AI Lens | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"Infinix Hot 20 5G (Space Blue, 128 GB)","₹13,499",Dimensity 810 Processor,"5,088 Ratings",463 Reviews,16.76 cm (6.6 inch) Full HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,6 GB",4.2,6000 mAh Lithium Polymer Battery,"Caribbean Green,Midnight Black,Pacific Blue",35% off,50MP + 2MP | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"REDMI 10 (Caribbean Green, 128 GB)","₹10,999",Qualcomm Snapdragon 680 Processor,"35,865 Ratings","2,357 Reviews",17.02 cm (6.7 inch) HD+ Display,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"4 GB,8 GB",4.1,5000 mAh Battery,"Mineral Gray,Satin Silver",36% off,50MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM,"MOTOROLA G32 (Satin Silver, 128 GB)","₹11,999",Qualcomm Snapdragon 680 Processor,"16,926 Ratings","1,409 Reviews",16.64 cm (6.55 inch) Full HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,6 GB,8 GB",4.4,5000 mAh Battery,"Aurora Gold,Glimmer Black,Marine Blue",23% off,50MP + 2MP | 8MP Front Camera,8 GB RAM | 128 GB ROM,"vivo T2x 5G (Marine Blue, 128 GB)","₹15,999",Dimensity 6020 Processor,"7,789 Ratings",409 Reviews,16.71 cm (6.58 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"4 GB,6 GB,8 GB",4.4,5000 mAh Battery,"Aurora Gold,Glimmer Black,Marine Blue",23% off,50MP + 2MP | 8MP Front Camera,8 GB RAM | 128 GB ROM,"vivo T2x 5G (Glimmer Black, 128 GB)","₹15,999",Dimensity 6020 Processor,"7,789 Ratings",409 Reviews,16.71 cm (6.58 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"4 GB,6 GB",4.2,5000 mAh Lithium-ion Polymer Battery,"Icy Blue,Power Black,Yellow",43% off,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"POCO M5 (Power Black, 64 GB)","₹8,999",Mediatek Helio G99 Processor,"6,621 Ratings",509 Reviews,16.71 cm (6.58 inch) Full HD+ Display,"1 Year for Handset, 6 Months for Accessories"
"4 GB,6 GB,8 GB",4.4,5000 mAh Battery,"Aurora Gold,Glimmer Black,Marine Blue",23% off,50MP + 2MP | 8MP Front Camera,8 GB RAM | 128 GB ROM,"vivo T2x 5G (Aurora Gold, 128 GB)","₹15,999",Dimensity 6020 Processor,"7,789 Ratings",409 Reviews,16.71 cm (6.58 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"4 GB,6 GB,8 GB",4.5,5000 mAh Battery,"Aurora Gold,Glimmer Black,Marine Blue",26% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,"vivo T2x 5G (Glimmer Black, 128 GB)","₹13,999",Dimensity 6020 Processor,"31,846 Ratings","1,656 Reviews",16.71 cm (6.58 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"4 GB,6 GB,8 GB",4.5,5000 mAh Battery,"Aurora Gold,Glimmer Black,Marine Blue",26% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,"vivo T2x 5G (Aurora Gold, 128 GB)","₹13,999",Dimensity 6020 Processor,"31,846 Ratings","1,656 Reviews",16.71 cm (6.58 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"4 GB,6 GB,8 GB",4.5,5000 mAh Battery,"Aurora Gold,Glimmer Black,Marine Blue",26% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM,"vivo T2x 5G (Marine Blue, 128 GB)","₹13,999",Dimensity 6020 Processor,"31,846 Ratings","1,656 Reviews",16.71 cm (6.58 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"4 GB,6 GB,8 GB",4.5,5000 mAh Battery,"Aurora Gold,Glimmer Black,Marine Blue",27% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM,"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",Dimensity 6020 Processor,"19,703 Ratings",968 Reviews,16.71 cm (6.58 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"4 GB,6 GB,8 GB",4.5,5000 mAh Battery,"Aurora Gold,Glimmer Black,Marine Blue",27% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM,"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",Dimensity 6020 Processor,"19,703 Ratings",968 Reviews,16.71 cm (6.58 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"4 GB,6 GB,8 GB",4.5,5000 mAh Battery,"Aurora Gold,Glimmer Black,Marine Blue",27% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM,"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",Dimensity 6020 Processor,"19,703 Ratings",968 Reviews,16.71 cm (6.58 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"2 GB,3 GB",4.2,5000 mAh Lithium Polymer Battery,"Black,Light Blue,Light Green",37% off,8MP Rear Camera | 5MP Front Camera,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"REDMI A1+ (Light Blue, 32 GB)","₹6,299",Mediatek Helio A22 Processor,"5,081 Ratings",210 Reviews,16.56 cm (6.52 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"6 GB,8 GB",4.5,4500 mAh Battery,"Nitro Blaze,Velocity Wave",20% off,64 MP (OIS) + 2MP | 16MP Front Camera,6 GB RAM | 128 GB ROM,"vivo T2 5G (Nitro Blaze, 128 GB)","₹18,999",Snapdragon 695 Processor,"20,146 Ratings","1,116 Reviews",16.21 cm (6.38 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"6 GB,8 GB",4.5,4500 mAh Battery,"Nitro Blaze,Velocity Wave",20% off,64 MP (OIS) + 2MP | 16MP Front Camera,6 GB RAM | 128 GB ROM,"vivo T2 5G (Velocity Wave, 128 GB)","₹18,999",Snapdragon 695 Processor,"20,146 Ratings","1,116 Reviews",16.21 cm (6.38 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"2 GB,3 GB",3.9,5000 mAh Lithium Polymer Battery,"Black,Light Blue,Light Green",38% off,8MP Rear Camera | 5MP Front Camera,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"REDMI A1+ (Light Blue, 32 GB)","₹6,749",Mediatek Helio A22 Processor,"1,440 Ratings",84 Reviews,16.56 cm (6.52 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"4 GB,6 GB",4.3,6000 mAh Lithium Polymer Battery,"Caribbean Green,Midnight Black,Pacific Blue",36% off,50MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"REDMI 10 (Midnight Black, 64 GB)","₹9,499",Qualcomm Snapdragon 680 Processor,"2,31,350 Ratings","14,197 Reviews",17.02 cm (6.7 inch) HD+ Display,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"4 GB,6 GB",4.2,5000 mAh Lithium Ion Polymer Battery,"Cool Blue,Power Black,Yellow",25% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"POCO M4 5G (Yellow, 64 GB)","₹11,999",Mediatek Dimensity 700 Processor,"75,419 Ratings","5,333 Reviews",16.71 cm (6.58 inch) Full HD+ Display,1 Year Warranty for Handset and 6 Months for Accessories
"6 GB,8 GB",4.4,4500 mAh Battery,"Nitro Blaze,Velocity Wave",16% off,64 MP (OIS) + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM,"vivo T2 5G (Nitro Blaze, 128 GB)","₹20,999",Snapdragon 695 Processor,"3,717 Ratings",249 Reviews,16.21 cm (6.38 inch) Full HD+ Display,1 Year of Device & 6 Months for Inbox Accessories
"4 GB,6 GB",4.2,5000 mAh Li-ion Polymer Battery,"Blaster Green,Racing Black,Space Blue",36% off,50MP + AI Lens | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"Infinix HOT 20 5G (Racing Black, 64 GB)","₹11,499",Dimensity 810 Processor,"10,123 Ratings",786 Reviews,16.76 cm (6.6 inch) Full HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,6 GB",4.2,6000 mAh Lithium Polymer Battery,"Caribbean Green,Midnight Black,Pacific Blue",35% off,50MP + 2MP | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"REDMI 10 (Pacific Blue, 128 GB)","₹10,999",Qualcomm Snapdragon 680 Processor,"35,865 Ratings","2,357 Reviews",17.02 cm (6.7 inch) HD+ Display,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"6 GB,8 GB",4.2,5000 mAh Battery,"Jaguar Black,Supernova Green,Wildcat Blue",23% off,48MP + 8MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"POCO X5 5G (Wildcat Blue, 128 GB)","₹15,999",Qualcomm Snapdragon 695 Processor,"6,295 Ratings",481 Reviews,16.94 cm (6.67 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
